Category: All categories

Week,board games: (Worldwide)
2015-04-12,32
2015-04-19,31
2015-04-26,35
2015-05-03,32
2015-05-10,36
2015-05-17,35
2015-05-24,37
2015-05-31,35
2015-06-07,33
2015-06-14,32
2015-06-21,29
2015-06-28,31
2015-07-05,31
2015-07-12,34
2015-07-19,35
2015-07-26,34
2015-08-02,34
2015-08-09,36
2015-08-16,35
2015-08-23,36
2015-08-30,35
2015-09-06,34
2015-09-13,32
2015-09-20,33
2015-09-27,35
2015-10-04,34
2015-10-11,35
2015-10-18,35
2015-10-25,39
2015-11-01,47
2015-11-08,53
2015-11-15,56
2015-11-22,72
2015-11-29,74
2015-12-06,78
2015-12-13,87
2015-12-20,87
2015-12-27,66
2016-01-03,44
2016-01-10,37
2016-01-17,38
2016-01-24,34
2016-01-31,34
2016-02-07,34
2016-02-14,32
2016-02-21,32
2016-02-28,33
2016-03-06,32
2016-03-13,33
2016-03-20,34
2016-03-27,34
2016-04-03,34
2016-04-10,34
2016-04-17,31
2016-04-24,30
2016-05-01,36
2016-05-08,31
2016-05-15,34
2016-05-22,31
2016-05-29,34
2016-06-05,30
2016-06-12,28
2016-06-19,29
2016-06-26,30
2016-07-03,31
2016-07-10,32
2016-07-17,30
2016-07-24,31
2016-07-31,31
2016-08-07,30
2016-08-14,31
2016-08-21,31
2016-08-28,31
2016-09-04,32
2016-09-11,36
2016-09-18,35
2016-09-25,34
2016-10-02,32
2016-10-09,37
2016-10-16,37
2016-10-23,39
2016-10-30,41
2016-11-06,47
2016-11-13,62
2016-11-20,74
2016-11-27,72
2016-12-04,77
2016-12-11,86
2016-12-18,93
2016-12-25,71
2017-01-01,50
2017-01-08,44
2017-01-15,43
2017-01-22,41
2017-01-29,37
2017-02-05,35
2017-02-12,34
2017-02-19,35
2017-02-26,35
2017-03-05,36
2017-03-12,35
2017-03-19,36
2017-03-26,34
2017-04-02,36
2017-04-09,34
2017-04-16,33
2017-04-23,34
2017-04-30,37
2017-05-07,35
2017-05-14,36
2017-05-21,35
2017-05-28,37
2017-06-04,33
2017-06-11,33
2017-06-18,30
2017-06-25,32
2017-07-02,32
2017-07-09,34
2017-07-16,33
2017-07-23,35
2017-07-30,34
2017-08-06,33
2017-08-13,33
2017-08-20,34
2017-08-27,35
2017-09-03,39
2017-09-10,37
2017-09-17,39
2017-09-24,34
2017-10-01,35
2017-10-08,42
2017-10-15,42
2017-10-22,42
2017-10-29,46
2017-11-05,55
2017-11-12,63
2017-11-19,81
2017-11-26,79
2017-12-03,86
2017-12-10,94
2017-12-17,96
2017-12-24,73
2017-12-31,58
2018-01-07,44
2018-01-14,43
2018-01-21,40
2018-01-28,42
2018-02-04,39
2018-02-11,37
2018-02-18,38
2018-02-25,40
2018-03-04,36
2018-03-11,40
2018-03-18,35
2018-03-25,38
2018-04-01,38
2018-04-08,36
2018-04-15,32
2018-04-22,35
2018-04-29,33
2018-05-06,34
2018-05-13,34
2018-05-20,35
2018-05-27,35
2018-06-03,35
2018-06-10,34
2018-06-17,31
2018-06-24,31
2018-07-01,33
2018-07-08,32
2018-07-15,34
2018-07-22,34
2018-07-29,36
2018-08-05,34
2018-08-12,33
2018-08-19,34
2018-08-26,36
2018-09-02,39
2018-09-09,37
2018-09-16,37
2018-09-23,35
2018-09-30,36
2018-10-07,39
2018-10-14,41
2018-10-21,39
2018-10-28,42
2018-11-04,52
2018-11-11,60
2018-11-18,78
2018-11-25,80
2018-12-02,83
2018-12-09,93
2018-12-16,99
2018-12-23,75
2018-12-30,60
2019-01-06,44
2019-01-13,39
2019-01-20,41
2019-01-27,36
2019-02-03,38
2019-02-10,38
2019-02-17,37
2019-02-24,35
2019-03-03,36
2019-03-10,36
2019-03-17,35
2019-03-24,35
2019-03-31,34
2019-04-07,33
2019-04-14,32
2019-04-21,34
2019-04-28,34
2019-05-05,32
2019-05-12,35
2019-05-19,34
2019-05-26,35
2019-06-02,34
2019-06-09,32
2019-06-16,35
2019-06-23,32
2019-06-30,33
2019-07-07,34
2019-07-14,35
2019-07-21,33
2019-07-28,35
2019-08-04,33
2019-08-11,39
2019-08-18,33
2019-08-25,34
2019-09-01,35
2019-09-08,35
2019-09-15,36
2019-09-22,36
2019-09-29,39
2019-10-06,39
2019-10-13,40
2019-10-20,40
2019-10-27,42
2019-11-03,51
2019-11-10,63
2019-11-17,65
2019-11-24,83
2019-12-01,85
2019-12-08,90
2019-12-15,100
2019-12-22,80
2019-12-29,64
2020-01-05,44
2020-01-12,44
2020-01-19,44
2020-01-26,38
2020-02-02,40
2020-02-09,39
2020-02-16,41
2020-02-23,38
2020-03-01,41
2020-03-08,38
2020-03-15,82
2020-03-22,98
2020-03-29,98
