Category: All categories

Week,bread: (Worldwide)
2019-04-07,40
2019-04-14,43
2019-04-21,39
2019-04-28,39
2019-05-05,38
2019-05-12,39
2019-05-19,38
2019-05-26,38
2019-06-02,39
2019-06-09,39
2019-06-16,39
2019-06-23,38
2019-06-30,36
2019-07-07,39
2019-07-14,40
2019-07-21,39
2019-07-28,42
2019-08-04,41
2019-08-11,42
2019-08-18,40
2019-08-25,40
2019-09-01,40
2019-09-08,43
2019-09-15,43
2019-09-22,42
2019-09-29,44
2019-10-06,42
2019-10-13,44
2019-10-20,44
2019-10-27,42
2019-11-03,44
2019-11-10,44
2019-11-17,45
2019-11-24,48
2019-12-01,41
2019-12-08,42
2019-12-15,45
2019-12-22,52
2019-12-29,48
2020-01-05,46
2020-01-12,46
2020-01-19,46
2020-01-26,45
2020-02-02,47
2020-02-09,45
2020-02-16,46
2020-02-23,45
2020-03-01,43
2020-03-08,46
2020-03-15,75
2020-03-22,93
2020-03-29,100
