Category: All categories

Week,DIY: (Worldwide)
2019-04-07,60
2019-04-14,61
2019-04-21,62
2019-04-28,62
2019-05-05,64
2019-05-12,59
2019-05-19,61
2019-05-26,61
2019-06-02,61
2019-06-09,62
2019-06-16,62
2019-06-23,61
2019-06-30,59
2019-07-07,61
2019-07-14,61
2019-07-21,60
2019-07-28,60
2019-08-04,60
2019-08-11,62
2019-08-18,60
2019-08-25,58
2019-09-01,59
2019-09-08,59
2019-09-15,62
2019-09-22,61
2019-09-29,64
2019-10-06,67
2019-10-13,71
2019-10-20,82
2019-10-27,85
2019-11-03,62
2019-11-10,63
2019-11-17,66
2019-11-24,62
2019-12-01,67
2019-12-08,65
2019-12-15,66
2019-12-22,61
2019-12-29,63
2020-01-05,57
2020-01-12,59
2020-01-19,57
2020-01-26,58
2020-02-02,59
2020-02-09,62
2020-02-16,61
2020-02-23,56
2020-03-01,61
2020-03-08,61
2020-03-15,73
2020-03-22,88
2020-03-29,100
