Category: All categories

Week,pasta: (Worldwide)
2019-04-07,64
2019-04-14,66
2019-04-21,62
2019-04-28,63
2019-05-05,62
2019-05-12,65
2019-05-19,63
2019-05-26,60
2019-06-02,59
2019-06-09,60
2019-06-16,60
2019-06-23,61
2019-06-30,63
2019-07-07,63
2019-07-14,64
2019-07-21,63
2019-07-28,63
2019-08-04,65
2019-08-11,68
2019-08-18,66
2019-08-25,65
2019-09-01,63
2019-09-08,63
2019-09-15,64
2019-09-22,64
2019-09-29,64
2019-10-06,66
2019-10-13,67
2019-10-20,66
2019-10-27,67
2019-11-03,67
2019-11-10,68
2019-11-17,67
2019-11-24,62
2019-12-01,64
2019-12-08,64
2019-12-15,66
2019-12-22,70
2019-12-29,75
2020-01-05,71
2020-01-12,74
2020-01-19,72
2020-01-26,70
2020-02-02,70
2020-02-09,74
2020-02-16,72
2020-02-23,71
2020-03-01,70
2020-03-08,72
2020-03-15,83
2020-03-22,96
2020-03-29,100
